227;Kanada;33 212 696;9 976 140;3,3
228;Gujana;702 100;214 970;3,3
229;Wyspa Bo¿ego Narodzenia;433;135;3,2
230;Libia;5 499 074;1 759 540;3,1
231;Mauretania;2 912 584;1 030 700;2,8
232;Islandia;280 798;103 000;2,7
233;Surinam;435 449;163 270;2,7
234;Botswana;1 573 267;600 370;2,6
235;Australia;19 731 984;7 686 850;2,6
236;Namibia;1 927 447;825 418;2,3
237;Gujana Francuska;186 917;91 000;2,0
238;Mongolia;2 712 315;1 565 000;1,7
239;Pitcairn;46;47;1,0
240;Sahara Zachodnia;261 794;266 000;1,0
241;Falklandy;2 967;12 173;0,24
242;Svalbard;2 811;62 049;0,05
243;Grenlandia;56 385;2 166 086;0,03

